722,236984,37100,1380,17760,49787,7427,4211,5455,1745,1521,1995,21082,3326,959,2037,458,3735,,96,1710,242906,31601,403,18078,50313,7532,4646,4999,1812,3720,1343,618,3591,64,3133,,7098,146,304,1093,326,422,348,1002,566,1971,1853,6701,2823,1327,9803,10281,10535,2921,12756,7603,8673,5387,10325,1279,4304,5313,2100,3709,2261,8701,3749,13911,9955,3387,16027,24635,13547,11333,10586,926,2357,1309,7609,396,2521,2685,6187,3109,1228,9295,13442,12505,2967,12123,7573,7969,5235,12891,1293,4715,4240,2277,3264,2387,9278,4018,14172,10724,2116,19176,24264,13186,11756,11728,1103,1902,1136,8063,370438
2216,249789,52776,4577,15678,50877,7065,5356,5028,1872,2006,2057,24810,3138,1401,1613,541,3801,,80,2454,263854,47962,2549,15708,53809,7037,6555,5666,1834,3816,1537,533,4107,38,3704,,19977,100,307,1042,398,480,484,1053,363,1757,982,6191,2476,1716,5272,8082,5159,2433,8142,6525,4044,5040,5396,1198,3502,4993,1961,3576,1990,8755,2185,13239,6815,2401,14122,19531,7646,7678,7320,653,1650,1105,6427,464,1976,1906,5399,3237,2005,6860,12240,5852,2754,9023,7155,5741,4739,9533,1489,4084,3931,2224,3934,2857,7908,3025,13907,7773,2247,15095,21099,10495,9208,7217,841,2217,783,7135,417482
225,167947,22382,1970,8585,38751,5392,2843,3787,1219,2016,923,15420,2302,1073,1354,312,2719,,112,1656,165597,20029,2308,8836,40240,5037,3074,4022,1129,2669,1004,284,3074,114,2305,,11127,79,155,583,217,252,247,280,505,1591,1537,4690,2067,1261,6758,7167,5914,1865,9060,6065,3560,3834,6484,1642,2523,4031,1770,2613,1337,6131,2182,8504,6301,2018,10681,15520,10543,9008,8882,901,2258,1087,5639,444,1391,1255,4475,2756,1281,6168,11286,7516,1948,7504,5423,4197,3794,7836,1474,2200,3360,1800,2812,1598,6218,2016,8987,6681,1051,10575,15637,9610,7602,6949,1066,2028,711,5761,245673
2245,199355,6707,143,11704,46502,6287,3301,6375,1429,1131,1038,19291,4970,1650,930,476,3124,,25,1561,204546,9465,164,11423,46990,5600,3767,6265,1499,4460,1785,587,3548,47,2149,,6914,75,168,891,409,377,378,731,677,2351,1260,5713,2745,2004,8080,9213,9786,2522,10812,6462,5336,4498,9725,1761,2378,4631,1681,3786,2198,7540,2833,10687,7421,2636,12020,19103,10474,11609,10441,683,2587,910,6859,583,1658,1796,4542,2762,1929,9384,12085,9142,2488,9667,7041,4987,4725,10964,1758,3254,3378,2623,5228,1793,6675,2615,9989,7721,1660,12235,17302,11381,10056,11125,998,2277,765,7227,322416
2233,209706,7144,404,14825,49213,7353,3160,4744,1408,772,1231,21282,4049,1545,1124,479,3658,,18,1535,211442,8846,157,14827,48962,7110,3030,4448,1176,4261,1629,558,3421,28,1521,17,1856,10,50,934,382,395,366,800,590,2415,1107,4915,2276,2060,10126,12573,10329,2427,10043,6638,6287,3555,9241,2022,3069,3833,1849,3358,1415,7495,2701,12097,7654,2151,13402,19157,11758,10038,9276,583,1913,1012,5893,578,2122,2091,6784,2866,1219,8493,14837,10713,2128,9312,6683,6994,4102,10936,2118,2829,2868,2380,3796,1894,7583,2879,10715,9207,2299,13014,18081,11319,8748,8276,630,1993,774,6309,335304
1427,215171,13675,342,9582,43366,5984,3349,4612,1274,1484,2498,17414,3435,1284,1499,491,2960,,81,1609,216588,12301,252,10317,44098,5573,3642,4833,1163,3735,1926,475,3093,112,2335,,2434,21,297,865,307,349,342,858,506,2043,941,4423,2455,1851,7069,9953,9659,2113,9029,7100,6086,5309,9280,1835,2434,3575,2052,2693,1604,7951,2012,10721,8240,1235,12463,17425,12086,10195,9513,707,2164,706,5229,596,2107,1032,4691,2467,1296,7969,12720,8246,2357,10017,6597,5663,4466,10448,1597,2768,2953,2498,2925,1731,6516,2783,10197,7701,926,11963,17035,12078,8844,8558,1004,2452,813,5686,353729
842,216551,27622,1793,13748,55750,6688,3925,5706,1642,3480,2360,22881,3206,1275,1009,302,4293,,135,1627,219563,18142,846,13646,57994,6945,4498,4943,1513,3558,1492,386,3961,126,3214,,4001,31,215,1041,410,331,289,798,724,2821,1726,5528,2611,1617,10920,12302,10121,2747,10739,6639,5793,4120,10836,2163,2911,3429,2121,3151,1859,8727,2832,12509,8355,2312,14035,19370,12278,10488,10734,820,3144,1105,6797,428,3196,1266,4173,2889,1416,9026,12867,9903,2538,10533,6393,5905,4082,12372,2161,3701,3290,2703,4291,2250,7502,2471,12093,9415,1623,14413,20717,13041,11067,11155,1012,2227,820,6670,337317
2073,205679,12423,130,13386,43643,6724,3595,4667,1316,1201,1693,19061,3870,1491,1429,511,3375,,59,1337,205174,10917,174,13832,43504,6079,3515,4130,1236,3794,1454,498,3529,109,1554,6,2004,36,109,837,287,303,299,615,581,2795,2527,4783,2716,2470,9317,10299,12459,2231,11772,6824,7249,4082,8600,1949,3930,3122,1888,2709,1983,9355,2365,14290,9486,3091,14229,20003,11245,10780,11421,736,3033,978,5581,555,1730,2661,4980,2774,1911,9904,12768,11319,1554,10803,6770,6582,4686,11287,2223,4208,3183,2422,2810,2145,8189,3001,13724,8721,2481,15260,18291,12139,10829,9409,1086,2562,812,6031,318935
2219,213539,23665,1945,10491,44139,5860,3414,4776,1402,1739,1742,21957,3124,880,1613,682,3157,,86,2129,212896,18303,1341,10684,45006,5643,4065,4700,1742,3890,1776,580,3436,62,2641,,7695,70,200,974,343,377,376,854,227,2636,821,7603,2686,1167,10391,13116,8900,2708,11092,7391,6082,4933,10118,2487,3055,4914,1818,3665,2155,10065,2506,13841,9099,2973,12182,20599,12653,10611,10241,1030,1784,1064,6836,568,3172,1615,5876,2724,1566,10762,14117,9073,2256,11561,7669,6850,4446,12135,2187,3953,3508,2523,3478,1853,9518,3226,13307,9799,2096,14268,18793,13418,11465,10143,1284,2701,704,6440,310606
1045,178316,21541,886,10038,39552,5750,3924,4136,1384,1976,1270,17398,2216,805,2133,540,2510,,90,1368,193271,20804,1413,10257,41711,4507,4710,3652,1271,1731,854,517,2658,93,1936,4,8115,182,228,684,178,260,224,531,512,1525,1569,5110,1921,1394,6694,9448,6974,1804,7908,6133,3859,3763,6046,1242,2441,3069,1514,2416,1176,6528,2346,9852,5760,2380,10911,13722,8316,8688,7460,735,2371,1065,6753,378,1920,1239,4342,2105,910,6126,9707,6522,1684,9185,6070,5563,3455,7323,1124,2342,2636,2009,3185,1349,5954,2137,9285,6447,1955,9635,14282,7411,8504,7676,604,1023,824,6023,277680
