2208,213547,13969,463,14414,53379,5915,3051,5015,1442,987,2025,20181,4449,1701,1116,503,3446,83,1872,211386,9184,279,14848,54443,5620,3097,4499,1454,4574,1714,577,3638,46,1903,0,2368,21,283,924,404,383,409,769,1125,2067,829,4619,2429,1817,9727,9976,10928,2694,10726,6388,6173,3760,8465,2211,2645,4484,1898,3486,1540,8965,2286,12275,8383,1822,12315,19069,11217,10291,11251,804,2203,1134,6585,464,1959,2001,4189,2478,1648,7834,12438,7626,2278,11548,5821,7866,4377,10667,2161,3014,3711,2802,4200,2029,6814,2355,11007,8650,1705,12196,17336,13170,9602,8845,851,2340,797,6494
2274,319231,29805,1814,14910,55216,8803,4272,5422,1507,2082,2045,25033,3501,1084,1886,527,4437,99,2457,321257,26433,831,14972,58808,7445,4972,5220,1910,4113,1627,711,4368,75,3973,6,6308,116,342,1294,451,448,471,1001,384,3804,3138,9385,3237,1203,10358,13957,8326,3001,12586,8712,6800,6046,11206,1843,4696,6177,2197,3508,2243,13574,3736,18620,11123,3724,21002,25512,14140,13761,12773,878,1781,1679,7575,645,2482,2573,7584,3225,1230,10163,16828,13055,2686,12336,8001,6414,5660,13810,2147,5610,4981,2322,4221,2194,12438,4435,18021,11401,2293,20721,25581,16238,12566,11663,1227,2551,1206,8776
4012,187351,5420,407,14429,46475,7231,4096,4522,978,623,1611,18316,3496,1251,1067,397,3011,74,1132,189717,5324,218,14165,48389,6025,3717,4662,1131,3433,1231,487,3130,73,1303,0,1319,13,169,982,459,412,390,1030,462,2404,2143,5298,2237,1915,8107,13365,9515,2509,10362,6562,5667,4377,8353,2206,3218,4951,2119,3606,1466,8726,2271,12454,9477,2350,12483,17932,11822,10351,11000,611,2317,1345,6088,405,2400,1609,5043,2865,1086,7453,15181,8959,2019,11822,6682,5962,4622,10821,1822,3317,2948,2058,3831,1768,9353,2976,12107,9480,1730,14303,17956,11529,9580,8946,987,1737,732,6502
1186,228926,17941,758,13573,48275,7129,3761,4897,1898,1769,1522,23088,3591,1128,1447,495,3752,296,2072,236171,20789,713,13983,50043,6813,4173,4565,1400,3578,1238,471,3809,198,2975,0,8694,250,280,1024,376,302,327,678,418,1987,1788,4989,2430,2052,8542,10073,8666,2020,9271,6685,5348,4684,9271,1623,2724,4122,1664,2358,1322,8039,2628,10278,8381,3013,14639,19860,9515,11075,8826,501,2271,1022,6230,332,2246,1972,5501,2115,1368,8999,11399,8621,2115,9457,5986,5262,4392,10196,1964,3515,3998,2382,3491,1605,6643,2946,11032,7384,2026,12572,18112,10679,9953,8273,819,2049,733,6316
2133,237329,15218,131,12540,44271,7159,3621,4654,1471,1059,1999,19046,4004,1361,1560,545,3469,54,2025,231127,20112,258,12949,44689,6416,3495,4381,1379,3708,1700,586,3429,37,2392,15,1991,49,83,1058,350,400,472,907,743,2290,1769,7280,2748,1659,8677,9389,9715,2306,9798,6993,6757,4734,9974,2013,3258,4841,2114,2961,2068,10021,2755,13102,8752,2738,13304,17790,11895,10416,8801,590,2190,1224,5886,619,2331,2160,6498,2571,1161,7870,11453,8268,1938,9939,6678,5888,4760,11763,1838,3566,3732,2111,3996,1933,9585,3358,12522,8044,1937,14281,18255,9893,11070,8147,805,1871,904,5838
2155,227188,6704,62,13176,46688,6472,3148,4409,1343,768,1010,19513,4411,1525,1083,407,3749,8,1343,225091,6252,51,13561,47424,5907,2851,4227,1326,3877,1596,546,3751,63,1332,8,1679,17,202,902,508,402,514,800,394,1446,1418,5798,2292,2720,10101,7117,10509,2028,10595,6979,4779,3569,8907,2208,2537,4090,1845,2826,1623,8119,2567,11271,7709,2303,14413,21624,11768,10320,10034,694,2623,1240,7086,477,2470,2464,5275,2425,2003,9174,11144,10315,1860,8431,6171,5415,4583,11533,1952,3868,2886,2381,4056,2020,7561,2876,11551,8667,2450,14817,19838,10686,10666,9268,1331,2372,800,6743
2180,185713,8662,52,12173,50252,6598,3258,4412,1216,869,866,17487,4243,1192,1101,430,3096,114,1372,187077,8525,71,12822,51056,5878,3024,3782,1217,3704,1286,379,3124,39,1529,15,1127,29,219,893,318,354,342,728,424,2116,1990,5424,2048,2610,7912,9267,7798,2202,9497,6460,6479,3416,8710,2216,3047,4167,1608,2095,1406,7397,2569,10952,7334,2258,12272,17344,9015,9793,8216,618,2213,893,5095,448,2065,2315,4388,2424,2023,8208,12206,7633,2124,8945,5871,5837,3732,9654,1698,3373,3072,2007,3183,1608,6305,2865,11209,6753,1732,11734,16547,9339,8966,7123,816,2457,757,5690
2263,218573,13576,549,11606,43260,6029,4101,5223,1382,1384,3617,18932,4168,1520,1289,446,3321,96,2120,222197,14996,413,11730,43616,5898,4842,5560,1371,4050,1765,595,3408,53,2904,18,5664,59,326,702,320,278,265,577,632,2235,2289,8241,2549,2593,9314,14087,11335,2656,11656,7918,6398,5160,11646,2405,3857,6376,2167,4042,1564,9876,3184,12561,9802,3643,15519,22210,12926,11764,9472,834,2460,1258,8037,432,1929,2228,7349,3144,2417,10863,14998,9784,2660,14391,7859,7015,4683,11356,2497,4244,5055,2739,4859,2002,9739,3253,12944,11578,2467,15717,21986,11130,10804,9797,1260,2315,894,7024
61,185871,16240,725,8979,36971,6085,3843,4953,1399,1027,1172,15659,3248,1155,1556,455,2657,130,1548,191910,19575,560,10648,38391,6083,3877,4151,1390,3563,1057,381,2795,152,1934,0,3815,79,221,745,270,327,329,687,415,1471,674,5415,2049,2286,8664,9149,7042,1802,6556,6908,4944,4923,7175,1395,2745,3932,1453,2824,1666,8181,2247,10438,7458,1476,11580,19383,9621,8891,8567,654,2614,830,6071,467,1759,2034,5117,2158,2158,7675,9988,6947,1842,7425,7393,4878,4531,8527,1863,3011,3388,2400,4190,2028,6038,2429,10350,7569,2005,11486,17416,9163,9152,8802,675,2134,901,6820
2068,191512,25662,944,13240,49313,6320,4282,6357,1505,1881,2119,20032,3353,1517,1586,472,3908,392,1892,191059,26940,717,14122,52361,6484,4610,5073,1498,3845,1397,517,3415,88,3421,12,6606,333,301,882,305,278,329,639,431,2213,2001,5695,2601,2257,8642,10284,10250,2435,11073,5773,5472,4787,7957,1948,2967,3543,1955,2595,1506,8583,2992,11482,9427,2438,13202,18400,10883,9632,11322,633,2590,917,6532,436,2158,2258,5316,2600,1793,9132,12385,9911,2436,10183,5451,5371,4765,9150,2032,3082,4136,1789,3523,1761,7755,2634,10293,9720,1562,14051,18512,10829,9090,9958,837,2083,882,6646
